original_id,link_url,user_nickname,original_message_id,subject,message_time,category,domain,status,location,target_object,content,reply_id,reply_nickname,reply_organization,reply_time,reply_content,satisfaction,solution_score,attitude_score,speed_score,wuhan_gid,district_name
1624,http://liuyan.people.com.cn/threads/content?tid=18231872,18********2,18231872,郭茨口社区锦绣汉江小区征地款拖延,2023/6/15 17:37,投诉/求助,政务,已办理,湖北省,湖北省汉阳区委书记,2022年因琴台大道施工占用锦绣汉江小区公摊面积，所以对小区居民进行了赔偿，赔偿款去年就到了江汉二桥街监管，他们一拖就大半年，近期居民反应的情况下他们出了个电子版的征求意见表格，锦绣汉江有四个区被征收土地，尽然四个区在同项目同区域的情况下政策截然不同形成了阴阳表格，本应直接发放的款项被他们搞得花样百出，街道社区本应为人民服务，他们尽然要求我们为本应发放我们的钱跟他们谈判。,6308931,18********1,武汉市汉阳区委书记,2023/6/21 9:50,"网友，您好！您的留言已收悉，根据您反映的问题，经汉阳区江汉二桥街道调查核实，现回复如下：
经了解，该处征用土地项目为汉阳市政琴台大道道路工程，武汉市汉阳区人民政府于2020年10月13日作出阳政征决字（2020）第10号房屋征收决定。赔偿分配方案正在征求居民意见中，分配方案按多数业主意见处理。前期调研期间，征集锦绣汉江四区、五区居民意见时，采用的表格按阳政征决字（2020）第10号房屋征收决定其选项中有“将赔偿款补充至公共维修基金”，而在征集万科翡翠滨江二期居民意见时，小区物业表示万科翡翠滨江是商品房，已缴纳了房屋维修基金，所以小区物业请求剔除维修基金选项。而在征集锦绣汉江一区、二区居民意见时，采用修改后的调查表，所以一区、二区的表格中无“将赔偿款补充至公共维修基金”的选项。按照阳政征决字（2020）第10号中规定流程，增加“将赔偿款补充至公共维修基金”的选项，只是供居民自行选择，不存在区别对待的情况。
汉阳区江汉二桥街道前期已向您沟通反馈情况。感谢您的理解和信任，希望您一如既往支持和监督我们的工作！",不满意,2,2,2,4,汉阳区
1625,http://liuyan.people.com.cn/threads/content?tid=18209476,17********5,18209476,江汉二桥街锦绣汉江小区征地款到账大半年不发放,2023/6/12 17:32,投诉/求助,政务,已办理,湖北省,湖北省汉阳区委书记,2022年因琴台大道道路阔宽占用锦绣汉江公摊面积，施工方赔付款到街道，由街道监管发放，几千万的款项一拖就是大半年，各种理由迟迟不发放，最近我们反应强烈后街道发了个电子版征求意见表，一区二区是直接赔付，四区五区赔付或者充公，同一项目同一街道同一区域尽然出现阴阳表格，不公平公正，区别对待的用意何在,6339729,18********1,武汉市汉阳区委书记,2023/7/4 15:11,"网友，您好！您的留言已收悉，根据您反映的问题，经汉阳区江汉二桥街道调查核实，现回复如下：
经了解，该处征用土地项目为汉阳市政琴台大道道路工程，武汉市汉阳区人民政府于2020年10月13日作出阳政征决字（2020）第10号房屋征收决定。赔偿分配方案正在征求居民意见中，分配方案按多数业主意见处理。前期调研期间，征集锦绣汉江四区、五区居民意见时，采用的表格按阳政征决字（2020）第10号房屋征收决定其选项中有“将赔偿款补充至公共维修基金”，而在征集万科翡翠滨江二期居民意见时，小区物业表示万科翡翠滨江是商品房，已缴纳了房屋维修基金，所以小区物业请求剔除维修基金选项。而在征集锦绣汉江一区、二区居民意见时，采用修改后的调查表，所以一区、二区的表格中无“将赔偿款补充至公共维修基金”的选项。按照阳政征决字（2020）第10号中规定流程，增加“将赔偿款补充至公共维修基金”的选项，只是供居民自行选择，不存在区别对待的情况。
汉阳区江汉二桥街道前期已向您沟通反馈情况。感谢您的理解和信任，希望您一如既往支持和监督我们的工作！",,,,,4,汉阳区
1626,http://liuyan.people.com.cn/threads/content?tid=18011382,13********0,18011382,无证经营并且不退费,2023/5/15 21:40,投诉/求助,教育,已办理,湖北省 武汉市,湖北省硚口区委书记,2022年在硚口区凯德西城二楼**娘给孩子报名舞蹈和绘画，一共费用1.8万余元，期间上了几个月课，后来就疫情停课了，疫情复课后**娘以被动因收购为由取消了绘画课，并且不退费，只能转到别的机构继续学习，后多次沟通协商在我自己认损2000余元的情况下同意退费剩余的8千余元，但是现在已经过去一个多月了还没有退费成功，并且被告知需要半年时间完成退费。希望相关部门可以给予帮助，让该机构尽快退费，如果该机构之后关门，这些家长更加无法讨要学费,6259429,18********0,硚口区,2023/5/26 9:11,网友您好！您反映的问题回复如下：您反映的问题区市场监督管理局、区文旅局已收悉。经区市场局调查核实该店有营业执照，区文旅局已要求该培训机构向家长做好解释工作，按合同合法合规处理退款，该培训机构已承诺本周与您联系并协商解决问题。下一步我，我局将继续督促该培训机构信守承诺，完成退费。已告知您处理结果，您表示理解。感谢您对我们工作的监督、理解与支持。,不满意,1,5,1,10,硚口区
1627,http://liuyan.people.com.cn/threads/content?tid=19391262,15********7,19391262,虚假宣传,2023/12/4 20:37,投诉/求助,医疗,已办理,湖北省 武汉市,湖北省硚口区委书记,2022年，武汉仁*时光医疗门诊部有限公司的工作人员，以公司23周年直播间做活动的名义向我推销医美项目，并在朋友圈发布多张制造容貌焦虑的广告使本人产生了一定的容貌焦虑。2022年9月25日，本人在医院工作人员的多番诱导下前往医院缴费1800元打了4个部位的保妥适除皱针。在打完离开走到大门口时又被医院王主任拉回去强行推销熊猫针填泪沟，承诺购买两支熊猫针，赠送我7d聚拉提，最后我经不住诱导，又付款3000元购买了两支熊猫针并做了7d聚拉提，在做的过程中痛感非常强烈，效果不明显，而且在我泪沟处留下了明显凸起的肉条，长时间不消，给我的生活带来很大困扰。我与医院协商退款，医院不予理睬。经本人查询，医院涉嫌存在以下违规违法点：1.给我做7d热拉提没写病历，且本人质疑机器是假的。2.虚假宣传，医院宣称23周年店庆，而实际成立时间仅为2018年。3.给我做注射的王*医生在该医院的备案日期从2023年5月27日才开始，而本人是2022年9月25日做的项目。4.无价目表，消费不透明。项目价格全凭王主任口头报价。请有关部门调查核实，给予医院行政处罚，并协助本人退款赔偿,6722407,18********0,硚口区,2023/12/15 17:30,网友您好！您反映的问题回复如下：您反映的问题区卫生健康局已收悉。经了解，您反映该门诊部4点问题：1.您做7d热拉提没写病历，且本人质疑机器是假的；2.虚假宣传，医院宣称23周年店庆，而实际成立时间为2018年；3.给您做注射的王医生在该医院的备案日期从2023年5月27日才开始，而您是2022年9月25日做的项目；4.无价目表，消费不透明。区卫生健康局要求院方提供患者病历、医生资质、药品及仪器相关资质。院方向我局提供了医生资质、药品及仪器相关资质。经核实:1.您于2022年9月25日就诊。医师面诊后建议可以行玻尿酸填充和肉毒注射。院方已经提交了仪器相关资质；2.关于虚假宣传，建议您向区市场监管局咨询处理；3.由于您的病历资料已封存，院方暂时无法向区卫生健康局提供。院方向区卫生健康局提供了给您治疗的医生信息，经查询该医生有相关资质，且于2021年已注册到该门诊部；4.门诊部有相关价目表，并有文字版公示说明。院方工作人员于12月11日联系您，您要求退款4800元。对于已经消费的项目院方无法给予退款，院方愿意给您赠送相关的皮肤治疗项目。区卫生健康局工作人员2023年12月11日50分致电您，告知您办理结果。关于武汉仁爱时光医疗门诊部有限公司涉嫌虚假宣传的问题。区市场监管局已收悉。区市场监管局工作人员于2023年12月12日上午电话联系您，您称该门诊部通过微信朋友圈、新氧APP宣称23周年店庆，实际成立时间为2018年，涉嫌虚假宣传。同时在朋友圈发布制造容貌焦虑的广告以及肉毒素广告，要求核查情况及退款赔偿，并会通过微信向区市场监管局提供相关证据材料，您反映的情况区市场监管局将依法进行核查处理，待核查后再行告知。区市场监督管理局工作人员于2023年12月12日与您联系，已告知您处理结果。感谢您对我们工作的监督、理解与支持。,,,,,10,硚口区
1628,http://liuyan.people.com.cn/threads/content?tid=18367207,18********2,18367207,请求领导协助退一下房屋预售款,2023/7/5 11:27,投诉/求助,企业,已办理,湖北省,湖北省硚口区委书记,2023.6.28日，武汉龙湖揽境营销中心，因房屋预订，交于武汉园**置业有限公司五万元预付款，当时置业顾问只是说预收款，可以顶房款，直接就交了，并签署一份文件，涉及到定金我们肯定是不愿意的，置业顾问就填了一个伍，就没写单位，并拍照留存，后因为首付款未凑齐要退订，该营销中心拒不退，希望有关部门能够委派人员协调退款，我们可以提供所有单据资料。,6356095,18********0,硚口区,2023/7/13 9:51,网友您好！您反映的问题回复如下：您反馈的问题区房管局已收悉。龙湖揽境项目由武汉园博园置业有限公司开发建设，该局工作人员经向开发商了解，开发商称您于2023年6月28日与武汉园博园置业有限公司签订了认购协议并交五万元定金，根据该协议约定您不购买该套房屋的情况下，开发商不退还五万元定金。该局于2023年7月10日16：57联系您，经向您了解情况，您称6月28日与开发商签订的购房协议为无效协议。该局建您通过司法途径解决合约纠纷问题。感谢您对我们工作的监督、理解与支持。,,,,,10,硚口区
1629,http://liuyan.people.com.cn/threads/content?tid=19079217,17********3,19079217,上了一天班不结工资,2023/10/18 19:12,投诉/求助,就业,已办理,湖北省 武汉市,湖北省江汉区委书记,2023年10月17日早上8点半到晚上八点半在江汉区佳得利美食城的菁**厨的外卖店工作12小时，具体地址：江汉区前进二路与民主路一街交叉口西南100米济生社区1号楼1-2层架得利**号**轻厨。老板承诺月薪4000。因工作强度大身体不适应让老板按照月薪4000结清我工作12小时约133元工资。老板以我第一天去“能做多少事”的理由将我应拿到的133元左右的工资压到100元，还得等到下个月15号。我已将我的银行卡号微信发给店铺老板，但目前为止仍未收到工资！诉求店铺老板立刻结清我应得工资！,6633900,18*********,江汉区人力资源局,2023/11/13 16:25,"网民朋友：您好，您反映的问题，经江汉区人力资源局工作人员调查了解，现回复如下：_x000D_
         经协调，****外卖店已于2023年10月25日支付您1天工资。感谢您的信任与支持，我们将继续履行职责，做好劳动保障监察工作。",,,,,8,江汉区
1630,http://liuyan.people.com.cn/threads/content?tid=19253630,15********7,19253630,恶意别车,2023/11/13 19:33,投诉/求助,交通,待回复,湖北省 武汉市,湖北省江汉区委书记,2023年11月13日12时28分左右，我驾驶大通V80普客四轮汽车，在建设大道由东向西方向，经过新华路口时，右后方一辆曹操出行白色小轿车（鄂A AG6***）加速向左变道未果，随后超车到我左前方向右别车，过劲松路口后在我车前急刹停车。,,,,,,,,,,8,江汉区
1631,http://liuyan.people.com.cn/threads/content?tid=19343971,13********5,19343971,事故车当非事故车卖,2023/11/27 15:30,投诉/求助,企业,已办理,湖北省 武汉市,湖北省硚口区委书记,"2023年11月16日。在武汉市硚口区安*汽车维修中心，地址：武汉市硚口区长丰村特*号...购买二手车标致3008的时候。该店再三保证该车没有任何事故，并标注在合同里面。告知我车况正常可以直接开。出现以下问题：1车子启动的时候故障灯全亮，重启好几次。2车子前面右边大灯也是坏的3车子失圆抖动厉害的问题依然存在4电子阻尼器声音依旧明显。当天停回小区并跟该店反映，如果这些处理不好就退车,因为家人生病，车子一直没动。26号准备去修车子完全开不了了，故障灯全亮，电子手刹锁死。在沟通中，该店查保险，发现车子出过事故。希望能够退回我购车的25000元。",6696486,18********0,硚口区,2023/12/6 17:38,网友您好！您反映的问题回复如下：您反映的问题区市场监督管理局已收悉。区市场监督管理局工作人员与您电话联系了解，您反映的是在武汉市硚口区安捷汽车维修中心购买二手车的问题，2023年11月30日17时00分，经工作人员组织，您与商家双方来到区市场监督管理局长丰市场所进行调解达成一致，商家退款22500元，再无纠纷，合同解除。您已知晓处理结果。感谢您对我们工作的监督、理解与支持。,,,,,10,硚口区
1632,http://liuyan.people.com.cn/threads/content?tid=19551318,13********0,19551318,自助食材不洁,2023/12/25 20:56,投诉/求助,企业,已办理,湖北省 武汉市,湖北省硚口区委书记,2023年12月24日晚八点，喜*就餐，吃到黄色大菜虫。致消费者上吐下泻，经同济急诊诊断食物中毒，喜*拒绝配合提供监控视频取证，也拒不承认消费者的诊断证明结果，赔偿协商无果！,6780320,18********0,硚口区,2024/1/3 14:58,网友您好！您反映的问题回复如下：您反映的问题区市场监督管理局已收悉。您反映的是关于在武汉**餐饮有限公司（即武汉**广场**店）食品卫生不合格问题。2023年12月26日11时18分，区市场监管局工作人员经与您电话联系了解，您反映：2023年12月24日（星期日）晚19点30分，您在武汉**餐饮有限公司（即武汉**广场**店）就餐中发现黄色大菜虫、导致您上吐下泻的的问题。同日，区市场监管局执法人员到该店检查，现场检查发现：1.武汉**餐饮有限公司(**店)的营业执照、食品经营许可证、人员的健康证均在有限期内；2.该店食物购进的台帐、供货商的资质、食品检验记录、消毒记录等完整；3.调查核实了该店12月24日当天的整体就餐情况及您就餐的全过程，并查看了当时的监控录相。2023年12月27日上午，区市场监管局执法人员组织您与武汉**餐饮有限公司(**店)进行投诉调解，由于当时您要求武汉**餐饮有限公司(**店)赔偿6万余元，双方不能达成一致，区市场监管局执法人员依据投诉调解程序终止调解，并现场制作了投诉终止调解决定书。12月27日下午，区市场监管局执法人员再次来到武汉**餐饮有限公司(**店)进行执法检查，检查了当事人武汉**餐饮有限公司(**店)的证照资料，查阅、复制了当时监控视频，检查了经营场所，蔬菜的清洗流程，对相关人员进行了询问，并制作了现场检查笔录。2023年12月29日，区市场监管局对武汉**餐饮有限公司(**店)立案调查。区市场监管局工作人员于2024年1月2日10:47分与您联系，已告知您处理结果。感谢您对我们工作的监督、理解与支持。感谢您对我们工作的监督、理解与支持。,,,,,10,硚口区
1633,http://liuyan.people.com.cn/threads/content?tid=19508721,13********5,19508721,购买供暖设备出现质量问题，商家拒绝维修,2023/12/20 8:43,投诉/求助,企业,已办理,湖北省 武汉市,湖北省江岸区委书记,"2023年12月2日，本人与武汉欧*佳舒适家居科技有限公司签订户式供暖合同，合同内容包含壁炉和暖气片等一整套供暖设备。2023年12月8日，欧*佳上门安装供暖设备。从2023年12月9日开始，主卧暖气片出现异响，异响声音大严重影响睡眠。本人报修后，欧*佳于2023年12月17日上门维修，但维修失败，异响继续存在并响声增大。随后本人继续多次报修，但欧*佳以各种理由拒绝再次维修，也不更换异响暖气片。_x000D_
本人诉求：暖气片异响属质量问题，且维修不好，要求尽快更换暖气片。",6769282,15********2,武汉江岸区,2023/12/30 9:00,网友，您好！您反映摄供暖暖气片异响的问题，有关工作人员向您电话反馈了办理情况。,,,,,7,江岸区
